,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
35,2023-11-30,19:00,Série A,Rodada da semana 36,qui,Em casa,V,2,1,Goiás,1.1,0.6,51,36.875,Luis Suárez,4-3-3,Marcelo de Lima Henrique,Relatório da Partida,,13,8,182.0,0.0,0,0,6,1.0,1,5,0,0,Gremio
36,2023-12-03,18:30,Série A,Rodada da semana 37,dom,Em casa,V,1,0,Vasco da Gama,0.8,0.8,49,,Luis Suárez,4-3-3,Ramon Abatti,Relatório da Partida,,13,5,216.0,0.0,0,0,1,0.0,0,1,0,0,Gremio
37,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Visitante,V,3,2,Fluminense,2.4,2.4,31,44.19,Luis Suárez,4-3-3,Raphael Claus,Relatório da Partida,,11,4,215.0,1.0,1,1,7,2.0,2,5,1,1,Gremio
5,2023-04-15,21:00,Série A,Rodada da semana 1,sáb,Em casa,D,1,2,Vasco da Gama,1.5,1.5,74,34.98,Hulk,4-3-3,Raphael Claus,Relatório da Partida,,26,10,187.0,3.0,0,0,3,2.0,2,1,0,0,Atletico Mineiro
7,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Visitante,E,0,0,Santos,1.2,0.8,63,11.233,Hulk,4-4-2,Braulio da Silva Machado,Relatório da Partida,,15,5,226.0,3.0,0,0,2,0.0,0,2,0,0,Atletico Mineiro
8,2023-04-29,21:00,Série A,Rodada da semana 3,sáb,Em casa,V,2,1,Ath Paranaense,2.0,0.6,59,15.037,Hulk,4-4-2,Ramon Abatti Abel,Relatório da Partida,,16,6,191.0,2.0,0,0,3,1.0,1,2,0,0,Atletico Mineiro
10,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Visitante,D,0,2,Botafogo (RJ),0.5,2.0,61,18.218,Hulk,4-2-2-2,Flavio Rodrigues de Souza,Relatório da Partida,,9,1,186.0,0.0,0,0,7,2.0,2,5,0,0,Atletico Mineiro
11,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Visitante,V,4,0,Cuiabá,2.8,0.2,53,12.029,Hulk,4-2-2-2,Wilton Sampaio,Relatório da Partida,,7,6,196.0,0.0,1,1,1,0.0,0,1,0,0,Atletico Mineiro
12,2023-05-13,21:00,Série A,Rodada da semana 6,sáb,Em casa,V,2,0,Internacional,2.0,0.3,54,36.08,Mariano,4-2-2-2,Raphael Claus,Relatório da Partida,,14,4,155.0,0.0,0,0,4,0.0,0,4,0,0,Atletico Mineiro
13,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,V,2,1,Coritiba,1.5,1.0,65,20.047,Hulk,4-1-2-1-2◆,Rodrigo José Pereira de Lima,Relatório da Partida,,18,7,236.0,2.0,1,1,4,1.0,1,3,1,1,Atletico Mineiro
15,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Em casa,E,1,1,Palmeiras,0.8,1.1,57,53.236,Hulk,4-1-3-2,Braulio da Silva Machado,Relatório da Partida,,10,4,172.0,0.0,0,0,2,1.0,1,1,0,0,Atletico Mineiro
16,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Visitante,V,1,0,Cruzeiro,0.6,1.8,36,34.344,Hulk,4-2-3-1,Savio Pereira,Relatório da Partida,,7,3,214.0,2.0,0,0,5,0.0,0,5,0,0,Atletico Mineiro
18,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Em casa,E,1,1,Bragantino,1.7,0.5,61,28.786,Mariano,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,16,6,180.0,1.0,0,0,3,1.0,1,2,0,0,Atletico Mineiro
